State,Year,rep_vote_share_2party
Alabama,2000,0.5760694192133109
Alabama,2004,0.6289777135228225
Alabama,2008,0.6089090275357267
Alabama,2012,0.6121622853343771
Alabama,2016,0.6437414359396074
Alabama,2020,0.6291137483335473
Alaska,2000,0.6793694856372919
Alaska,2004,0.6322628298124632
Alaska,2008,0.610647849165971
Alaska,2012,0.5731529048156038
Alaska,2016,0.5838565471106807
Alaska,2020,0.5526184872384932
Arizona,2000,0.5328259916713985
Arizona,2004,0.5527500503048827
Arizona,2008,0.5431390071961633
Arizona,2012,0.5461338022370319
Arizona,2016,0.518891204461367
Arizona,2020,0.49843168320870684
Arkansas,2000,0.5280068951042081
Arkansas,2004,0.5493574825166778
Arkansas,2008,0.6017172061071726
Arkansas,2012,0.6215440535122961
Arkansas,2016,0.6428513768977047
Arkansas,2020,0.6421243327798315
California,2000,0.43797010000928216
California,2004,0.44958679547177544
California,2008,0.3772155040841459
California,2012,0.3812718883670338
California,2016,0.3387177945727012
California,2020,0.3509108863933243
Colorado,2000,0.5448591994327903
Colorado,2004,0.5236622955824264
Colorado,2008,0.4544936530682658
Colorado,2012,0.47252011685797485
Colorado,2016,0.47316666627317566
Colorado,2020,0.43061680507699845
Connecticut,2000,0.4074434195114548
Connecticut,2004,0.44725052439415874
Connecticut,2008,0.3868166175024582
Connecticut,2012,0.41227422523092905
Connecticut,2016,0.4285845248273636
Connecticut,2020,0.39804950911922155
Delaware,2000,0.43259935214711553
Delaware,2004,0.46168493754908396
Delaware,2008,0.3736186135011144
Delaware,2012,0.4055304508072184
Delaware,2016,0.4400137855631878
Delaware,2020,0.40373255835015526
Florida,2000,0.5000460940803355
Florida,2004,0.5252367957566879
Florida,2008,0.48580339969100705
Florida,2012,0.49557747860633766
Florida,2016,0.5061883547277548
Florida,2020,0.5169475466214156
Georgia,2000,0.5598375362290265
Georgia,2004,0.5835423269640956
Georgia,2008,0.5262833551081179
Georgia,2012,0.5395664909805672
Georgia,2016,0.5266117259930322
Georgia,2020,0.49880670337091354
Hawaii,2000,0.40172703719570657
Hawaii,2004,0.4559555199706973
Hawaii,2008,0.2700627412154459
Hawaii,2012,0.2829615149892558
Hawaii,2016,0.32558662549464545
Hawaii,2020,0.3496733535348512
Idaho,2000,0.7084849045574401
Idaho,2004,0.6932273818336431
Idaho,2008,0.6302458980502055
Idaho,2012,0.6642138684357534
Idaho,2016,0.6831017668080558
Idaho,2020,0.6587714292507787
Illinois,2000,0.4381998968416041
Illinois,2004,0.4479136595044655
Illinois,2008,0.3726573595544064
Illinois,2012,0.4142247660788309
Illinois,2016,0.4097994860928852
Illinois,2020,0.4134095626719308
Indiana,2000,0.5800478253258193
Indiana,2004,0.6042347624965846
Indiana,2008,0.49478046554621913
Indiana,2012,0.5520037459732731
Indiana,2016,0.6011730952450807
Indiana,2020,0.5819504800744296
Iowa,2000,0.4983722081248183
Iowa,2004,0.5033667926271291
Iowa,2008,0.45151222210532654
Iowa,2012,0.4704064807189982
Iowa,2016,0.5506354784512034
Iowa,2020,0.5418326308463706
Kansas,2000,0.6091690746352808
Kansas,2004,0.6286709878108223
Kansas,2008,0.5761227581890944
Kansas,2012,0.6111332674525305
Kansas,2016,0.6111147034260667
Kansas,2020,0.5749342825563135
Kentucky,2000,0.5772761526567658
Kentucky,2004,0.6000761991547393
Kentucky,2008,0.5823342758770461
Kentucky,2012,0.6154277239380491
Kentucky,2016,0.6567062901750986
Kentucky,2020,0.6320010290026297
Louisiana,2000,0.5393924596634723
Louisiana,2004,0.573309412692435
Louisiana,2008,0.5945717416158537
Louisiana,2012,0.5874682561411397
Louisiana,2016,0.601716772378078
Louisiana,2020,0.5946444045629105
Maine,2000,0.4725215845899958
Maine,2004,0.45416983589691395
Maine,2008,0.41170475016592395
Maine,2012,0.42140078606422887
Maine,2016,0.48403208870837466
Maine,2020,0.45329595417996027
Maryland,2000,0.4156770105754571
Maryland,2004,0.4343428691808208
Maryland,2008,0.37069912707114466
Maryland,2012,0.3667827421309402
Maryland,2016,0.3598900449143484
Maryland,2020,0.3297095295290766
Massachusetts,2000,0.35210656239366184
Massachusetts,2004,0.3725714448700811
Massachusetts,2008,0.36802921786647047
Massachusetts,2012,0.38214319250939993
Massachusetts,2016,0.35348721310370507
Massachusetts,2020,0.3288445045985185
Michigan,2000,0.473653935182659
Michigan,2004,0.48274155532034796
Michigan,2008,0.4162869842384548
Michigan,2012,0.45199467928822123
Michigan,2016,0.5011766821696155
Michigan,2020,0.4858644065559054
Minnesota,2000,0.4871358802418868
Minnesota,2004,0.4823908938933105
Minnesota,2008,0.4477062500460726
Minnesota,2012,0.4605877353830181
Minnesota,2016,0.49168306292819514
Minnesota,2020,0.46360486351433333
Mississippi,2000,0.5860548483924629
Mississippi,2004,0.5950500076962136
Mississippi,2008,0.5664193099286384
Mississippi,2012,0.5580189919878777
Mississippi,2016,0.5908984732406006
Mississippi,2020,0.5838498582738886
Missouri,2000,0.5171194865675066
Missouri,2004,0.5361971266543984
Missouri,2008,0.5006757914967664
Missouri,2012,0.5477866675337997
Missouri,2016,0.5981856099556606
Missouri,2020,0.5783582064440145
Montana,2000,0.6365636197866972
Montana,2004,0.6050007617566335
Montana,2008,0.5116940328394073
Montana,2012,0.5703423186388146
Montana,2016,0.6110966431702444
Montana,2020,0.5839718009204811
Nebraska,2000,0.6517948086208503
Nebraska,2004,0.6684733725959471
Nebraska,2008,0.5760907442216564
Nebraska,2012,0.6112939026822536
Nebraska,2016,0.6354767411317757
Nebraska,2020,0.5978405224660173
Nevada,2000,0.5185683849967243
Nevada,2004,0.513175957248615
Nevada,2008,0.43613261874803894
Nevada,2012,0.46592457836653467
Nevada,2016,0.487062905800148
Nevada,2020,0.48776882659956194
New Hampshire,2000,0.506678001952188
New Hampshire,2004,0.49309711379862686
New Hampshire,2008,0.45131458879890496
New Hampshire,2012,0.47166248021741897
New Hampshire,2016,0.49802971557619297
New Hampshire,2020,0.4625165227840496
New Jersey,2000,0.4178859058327907
New Jersey,2004,0.46629463681157796
New Jersey,2008,0.4213537012857605
New Jersey,2012,0.4104803444941423
New Jersey,2016,0.4271580985709871
New Jersey,2020,0.4192871641320516
New Mexico,2000,0.49968073970690857
New Mexico,2004,0.5040033588635489
New Mexico,2008,0.4233509998120241
New Mexico,2012,0.44704795353091303
New Mexico,2016,0.4534920506567589
New Mexico,2020,0.4448150984828026
New York,2000,0.3642400841698931
New York,2004,0.40170209343553887
New York,2008,0.34236142620215737
New York,2012,0.3395730512972261
New York,2016,0.3658849350022463
New York,2020,0.38283165106987754
North Carolina,2000,0.5646399698150305
North Carolina,2004,0.5624197200184111
North Carolina,2008,0.4983403669993269
North Carolina,2012,0.51034034903005
North Carolina,2016,0.5190374580371871
North Carolina,2020,0.5068418253318673
North Dakota,2000,0.6472739657061628
North Dakota,2004,0.6390935414994329
North Dakota,2008,0.5440865628196813
North Dakota,2012,0.6011120828891173
North Dakota,2016,0.6980924289651974
North Dakota,2020,0.6721740842289663
Ohio,2000,0.5183872222066608
Ohio,2004,0.510587440047892
Ohio,2008,0.47666159237745875
Ohio,2012,0.48485943230750506
Ohio,2016,0.5426768457713591
Ohio,2020,0.5407669764770272
Oklahoma,2000,0.6108067122211892
Oklahoma,2004,0.6557040166475606
Oklahoma,2008,0.656450811226935
Oklahoma,2012,0.6677231974301656
Oklahoma,2016,0.6930473723832813
Oklahoma,2020,0.6694003949690651
Oregon,2000,0.4976410801446944
Oregon,2004,0.4789137422554992
Oregon,2008,0.4158627882277282
Oregon,2012,0.43728832821252617
Oregon,2016,0.43844161054945646
Oregon,2020,0.4169284301455827
Pennsylvania,2000,0.4785152128319685
Pennsylvania,2004,0.4874171790293761
Pennsylvania,2008,0.4477029618451555
Pennsylvania,2012,0.4726806599810817
Pennsylvania,2016,0.5037553580749017
Pennsylvania,2020,0.49410794740650943
Rhode Island,2000,0.34350883932400683
Rhode Island,2004,0.39422489424121865
Rhode Island,2008,0.35801862490854225
Rhode Island,2012,0.3598325402111788
Rhode Island,2016,0.41689295907340185
Rhode Island,2020,0.3940064011604074
South Carolina,2000,0.5816210606765027
South Carolina,2004,0.586364582597492
South Carolina,2008,0.5454442918920913
South Carolina,2012,0.5530825470456537
South Carolina,2016,0.5746025636052402
South Carolina,2020,0.559266087495821
South Dakota,2000,0.6161471257237386
South Dakota,2004,0.6091329080109369
South Dakota,2008,0.5429570723411538
South Dakota,2012,0.5921849913819525
South Dakota,2016,0.6597185807943126
South Dakota,2020,0.634347798616815
Tennessee,2000,0.5196286678517901
Tennessee,2004,0.5718544545474072
Tennessee,2008,0.5763147180235446
Tennessee,2012,0.6035107152629404
Tennessee,2016,0.6362434304526199
Tennessee,2020,0.6182777037206635
Texas,2000,0.6095627014856294
Texas,2004,0.6151019189710992
Texas,2008,0.5593593675094072
Texas,2012,0.5800789721510639
Texas,2016,0.5471322557797199
Texas,2020,0.5283072123677953
Utah,2000,0.7172550543132414
Utah,2004,0.7334643916012205
Utah,2008,0.6452636137274007
Utah,2012,0.7462618889514748
Utah,2016,0.6238289834541129
Utah,2020,0.6069360512185163
Vermont,2000,0.445596491032266
Vermont,2004,0.39698997860748836
Vermont,2008,0.311008182606619
Vermont,2012,0.3175274117360937
Vermont,2016,0.34813573676179627
Vermont,2020,0.3170081344719344
Virginia,2000,0.5414723630583325
Virginia,2004,0.5413369671353006
Virginia,2008,0.46817415593872447
Virginia,2012,0.48032623311235517
Virginia,2016,0.471736237228453
Virginia,2020,0.4484531300060009
Washington,2000,0.4705522899059459
Washington,2004,0.46353462316547045
Washington,2008,0.4124797319789105
Washington,2012,0.42371701729378153
Washington,2016,0.4121306879993523
Washington,2020,0.4007449681520931
West Virginia,2000,0.5324207401593741
West Virginia,2004,0.5647971062974548
West Virginia,2008,0.5667374376713725
West Virginia,2012,0.6367429763204273
West Virginia,2016,0.7216105225129578
West Virginia,2020,0.6979853231392202
Wisconsin,2000,0.49884931696842194
Wisconsin,2004,0.4980819672573075
Wisconsin,2008,0.42944321752181586
Wisconsin,2012,0.4653657001712759
Wisconsin,2016,0.5040798903802971
Wisconsin,2020,0.4968093673346601
Wyoming,2000,0.7098230564031704
Wyoming,2004,0.7031270317317171
Wyoming,2008,0.6656202335509591
Wyoming,2012,0.7116063401152143
Wyoming,2016,0.7570531962915379
Wyoming,2020,0.724804343755851
