GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
 "01000","Alabama",5,SAINC91,10,"...","Inflows of earnings ","Thousands of dollars",1231154,1290634,1407718,1497366,1596037,1705558,1742059,1890456,2052583,2178961,2339937,2435833,2511097,2634779,2762915,2931999,3085861,3287267,3426884,3419917,3605572,3865333,4161120,4320103,4411421,4506841,4572164,4681994,4827192,4982418,5014073,5330968,5659225,6007283,6330950
 "01000","Alabama",5,SAINC91,20,"...","Outflows of earnings ","Thousands of dollars",698881,727825,794139,832420,838188,866232,896820,941939,988014,1047748,1083045,1120710,1137483,1180624,1274767,1377762,1474798,1560781,1592162,1616178,1718165,1832718,1868655,1945022,2044997,2154305,2134213,2289574,2290979,2343022,2470102,2510433,2599316,2910206,3058309
 "01000","Alabama",5,SAINC91,30,"...","Adjustment for residence ","Thousands of dollars",532273,562809,613579,664946,757849,839326,845239,948517,1064569,1131213,1256892,1315123,1373614,1454155,1488148,1554237,1611063,1726486,1834722,1803739,1887407,2032615,2292465,2375081,2366424,2352536,2437951,2392420,2536213,2639396,2543971,2820535,3059909,3097077,3272641
 "02000","Alaska",8,SAINC91,10,"...","Inflows of earnings ","Thousands of dollars",0,749,1579,2362,3248,4220,5346,6846,8628,10598,12448,11712,10618,9700,9042,8373,7954,7030,5588,12005,19094,29025,40753,49645,53193,53056,52656,56074,54037,57138,53056,55998,62504,66312,72328
 "02000","Alaska",8,SAINC91,20,"...","Outflows of earnings ","Thousands of dollars",624656,669544,706890,728534,744686,749983,774423,783747,830727,837391,890157,874674,801633,709297,616397,520523,427520,314766,178821,190644,198933,223394,246197,256023,273143,276599,247295,237642,245520,253765,242690,244290,263123,287285,304081
 "02000","Alaska",8,SAINC91,30,"...","Adjustment for residence ","Thousands of dollars",-624656,-668795,-705311,-726172,-741438,-745763,-769077,-776901,-822099,-826793,-877709,-862962,-791015,-699597,-607355,-512150,-419566,-307736,-173233,-178639,-179839,-194369,-205444,-206378,-219950,-223543,-194639,-181568,-191483,-196627,-189634,-188292,-200619,-220973,-231753
 "04000","Arizona",6,SAINC91,10,"...","Inflows of earnings ","Thousands of dollars",616565,638373,693577,744603,807018,873548,956683,1052515,1174046,1301515,1448099,1558455,1633861,1759917,1963693,2145369,2261803,2390160,2408099,2326007,2335405,2371087,2484916,2530525,2667863,2820106,2977338,3120166,3344966,3508268,3502399,3906956,4261666,4494120,4766336
 "04000","Arizona",6,SAINC91,20,"...","Outflows of earnings ","Thousands of dollars",393146,418578,446760,480940,532335,581290,634259,694759,768161,835229,923100,920688,935901,961403,1015092,1085200,1168088,1213136,1192422,1100408,1085040,1121597,1135207,1184959,1213102,1306828,1383445,1453056,1624970,1583546,1860775,1884604,2086241,2173769,2308298
 "04000","Arizona",6,SAINC91,30,"...","Adjustment for residence ","Thousands of dollars",223419,219795,246817,263663,274683,292258,322424,357756,405885,466286,524999,637767,697960,798514,948601,1060169,1093715,1177024,1215677,1225599,1250365,1249490,1349709,1345566,1454761,1513278,1593893,1667110,1719996,1924722,1641624,2022352,2175425,2320351,2458038
 "05000","Arkansas",5,SAINC91,10,"...","Inflows of earnings ","Thousands of dollars",593070,615689,672234,692917,732067,788824,841430,909897,965995,1010793,1065947,1105662,1134617,1171832,1247241,1310485,1391560,1467263,1500659,1438092,1491416,1586340,1680270,1676628,1740826,1803620,1821414,1867294,1933023,1999855,2024173,2143331,2265371,2381263,2427945
 "05000","Arkansas",5,SAINC91,20,"...","Outflows of earnings ","Thousands of dollars",813090,863252,943585,1000522,1066416,1092965,1141916,1215036,1272362,1332522,1425439,1479961,1506568,1522149,1565402,1597590,1639559,1648255,1639235,1557722,1620213,1698118,1835504,1891133,1964645,2060845,2028749,2185333,2294651,2362381,2384425,2652989,2888408,3084045,3470099
 "05000","Arkansas",5,SAINC91,30,"...","Adjustment for residence ","Thousands of dollars",-220020,-247563,-271351,-307605,-334349,-304141,-300486,-305139,-306367,-321729,-359492,-374299,-371951,-350317,-318161,-287105,-247999,-180992,-138576,-119630,-128797,-111778,-155234,-214505,-223819,-257225,-207335,-318039,-361628,-362526,-360252,-509658,-623037,-702782,-1042154
 "06000","California",8,SAINC91,10,"...","Inflows of earnings ","Thousands of dollars",1538121,1613158,1724127,1807355,1909205,2019797,2149926,2306933,2524836,2768053,3031352,3073264,3009887,3011170,3085628,3156281,3241194,3303255,3205762,3100930,3214055,3486731,3761221,3946889,4165508,4381115,4505455,4725002,5007871,5254568,5276450,5809081,6321840,6672625,7099988
 "06000","California",8,SAINC91,20,"...","Outflows of earnings ","Thousands of dollars",1584889,1651040,1767001,1782482,1873222,1995179,2136260,2375182,2598796,2847386,3285414,3387306,3442105,3608543,3876766,4137126,4477276,4810945,4962780,4618325,4669347,4889027,5069610,5107848,5415706,5838547,6135597,6575066,6912373,7339452,7488883,8417940,8732924,9053790,9575092
 "06000","California",8,SAINC91,30,"...","Adjustment for residence ","Thousands of dollars",-46768,-37882,-42874,24873,35983,24618,13666,-68249,-73960,-79333,-254062,-314042,-432218,-597373,-791138,-980845,-1236082,-1507690,-1757018,-1517395,-1455292,-1402296,-1308389,-1160959,-1250198,-1457432,-1630142,-1850064,-1904502,-2084884,-2212433,-2608859,-2411084,-2381165,-2475104
 "08000","Colorado",7,SAINC91,10,"...","Inflows of earnings ","Thousands of dollars",290345,313457,346459,375323,408592,443990,482626,533108,596201,659977,742690,762218,761401,775308,814733,854237,921737,972964,994825,1000411,1097535,1278664,1504465,1675893,1766367,1782051,1764864,1911221,1980084,2051044,2048885,2272071,2391863,2560034,2738904
 "08000","Colorado",7,SAINC91,20,"...","Outflows of earnings ","Thousands of dollars",204709,216653,234420,251281,266654,280908,300921,327964,365178,399292,454550,453442,422011,411723,416314,424808,445731,467743,471879,437181,434414,451689,477353,492783,534411,550202,561091,591892,634509,664212,669815,719719,795100,849084,889740
 "08000","Colorado",7,SAINC91,30,"...","Adjustment for residence ","Thousands of dollars",85636,96804,112039,124042,141938,163082,181705,205144,231023,260685,288140,308776,339390,363585,398419,429429,476006,505221,522946,563230,663121,826975,1027112,1183110,1231956,1231849,1203773,1319329,1345575,1386832,1379070,1552352,1596763,1710950,1849164
 "09000","Connecticut",1,SAINC91,10,"...","Inflows of earnings ","Thousands of dollars",5370559,5483238,6947512,6587012,6562261,7643944,8731622,8847223,10814836,11245543,12144273,12438570,12353364,12620796,14067166,15270261,16844555,18972615,20053251,16865565,19340911,20480293,22556735,21881236,22590752,23257646,22670806,25139795,26991404,30403836,30017080,34056444,33647112,34971063,40094894
 "09000","Connecticut",1,SAINC91,20,"...","Outflows of earnings ","Thousands of dollars",2625575,2773977,3008975,3241534,3460184,3817266,4195120,4775242,5333073,5883781,6618184,6875604,6619639,6784302,7216681,7610158,8024455,8628742,8581008,8001154,8482035,9109421,9356801,9357408,9638100,9983577,10013472,10043831,10149799,10245178,10167447,10856855,11729780,12319348,12832823
 "09000","Connecticut",1,SAINC91,30,"...","Adjustment for residence ","Thousands of dollars",2744984,2709261,3938537,3345478,3102077,3826678,4536502,4071981,5481763,5361762,5526089,5562966,5733725,5836494,6850485,7660103,8820100,10343873,11472243,8864411,10858876,11370872,13199934,12523828,12952652,13274069,12657334,15095964,16841605,20158658,19849633,23199589,21917332,22651715,27262071
 "10000","Delaware",2,SAINC91,10,"...","Inflows of earnings ","Thousands of dollars",983326,1098117,1176111,1340759,1454163,1530248,1584704,1585966,1815456,1899521,2161913,2331765,2443188,2619011,2834293,3042406,3280348,3569880,3721662,3726956,3843007,4132686,4341970,4436431,4579911,4767492,4992844,5185318,5394869,5656661,5745790,6232616,6575925,7013887,7325171
 "10000","Delaware",2,SAINC91,20,"...","Outflows of earnings ","Thousands of dollars",1671352,1779551,1900689,2021307,2176102,2378121,2633298,2931441,3271316,3595509,3951900,4141061,4203451,4419061,4773876,5130515,5599422,5733845,5936112,5266349,5575227,6284987,6505542,6530351,7048984,7210131,7131270,7700369,7959961,8270601,8199305,8605583,9138193,9226826,10124941
 "10000","Delaware",2,SAINC91,30,"...","Adjustment for residence ","Thousands of dollars",-688026,-681434,-724578,-680548,-721939,-847873,-1048594,-1345475,-1455860,-1695988,-1789987,-1809296,-1760263,-1800050,-1939583,-2088109,-2319074,-2163965,-2214450,-1539393,-1732220,-2152301,-2163572,-2093920,-2469073,-2442639,-2138426,-2515051,-2565092,-2613940,-2453515,-2372967,-2562268,-2212939,-2799770
 "11000","District of Columbia",2,SAINC91,10,"...","Inflows of earnings ","Thousands of dollars",2083068,2204540,2351407,2470385,2618703,2765895,3009928,3194315,3467840,3853186,4638938,4896591,4968437,5152088,5486925,5744306,5939544,6183548,6282356,6486086,6772964,7170625,7460286,7389195,7590084,7917896,8127647,8979270,10035231,10519112,10854050,11410405,12825228,14186066,15903268
 "11000","District of Columbia",2,SAINC91,20,"...","Outflows of earnings ","Thousands of dollars",20066364,21122540,22443474,23119766,23639835,23828996,24066634,24876503,26258892,28727297,30124605,32121387,34464733,36774831,39602239,41933205,43258379,45370591,47159532,47587775,50092737,52744295,52810936,52325907,53862357,55244897,57470189,59552864,62628962,64128665,65688861,68929323,71829879,75290439,78847644
 "11000","District of Columbia",2,SAINC91,30,"...","Adjustment for residence ","Thousands of dollars",-17983296,-18918000,-20092067,-20649381,-21021132,-21063101,-21056706,-21682188,-22791052,-24874111,-25485667,-27224796,-29496296,-31622743,-34115314,-36188899,-37318835,-39187043,-40877176,-41101689,-43319773,-45573670,-45350650,-44936712,-46272273,-47327001,-49342542,-50573594,-52593731,-53609553,-54834811,-57518918,-59004651,-61104373,-62944376
 "12000","Florida",5,SAINC91,10,"...","Inflows of earnings ","Thousands of dollars",1320039,1376890,1478602,1550623,1640397,1736708,1852901,1999439,2190262,2370898,2603875,2766945,2874483,3044557,3282215,3559900,3873626,4237111,4443085,4201130,4314451,4564559,4719079,4772051,4984375,5210130,5343788,5534596,5708446,5910920,5917570,6337756,6830880,7236233,7606095
 "12000","Florida",5,SAINC91,20,"...","Outflows of earnings ","Thousands of dollars",687250,699847,735213,757214,786348,815221,858565,904748,969086,1017804,1087620,1148541,1198019,1271417,1363951,1479440,1575600,1640163,1656681,1557424,1588080,1633040,1702213,1720461,1774723,1868522,1962225,2076285,2187744,2312214,2356900,2667289,2961308,3195846,3411406
 "12000","Florida",5,SAINC91,30,"...","Adjustment for residence ","Thousands of dollars",632789,677043,743389,793409,854049,921487,994336,1094691,1221176,1353094,1516255,1618404,1676464,1773140,1918264,2080460,2298026,2596948,2786404,2643706,2726371,2931519,3016866,3051590,3209652,3341608,3381563,3458311,3520702,3598706,3560670,3670467,3869572,4040387,4194689
 "13000","Georgia",5,SAINC91,10,"...","Inflows of earnings ","Thousands of dollars",1699498,1765333,1935048,2057878,2148346,2226428,2347420,2483790,2633620,2880792,3088694,3201395,3288786,3473274,3702182,3971450,4224452,4518992,4634927,4404771,4584884,4819697,5025950,5117296,5323951,5639363,5725803,6099520,6295507,6525028,6683644,7143203,7760530,8486242,9047794
 "13000","Georgia",5,SAINC91,20,"...","Outflows of earnings ","Thousands of dollars",1812122,1896962,2113210,2239492,2385237,2566757,2722120,2931867,3218863,3480661,3821098,3978111,4110308,4313588,4501014,4753535,5012336,5296564,5329144,5328722,5532469,6001578,6363501,6630308,6926097,7263476,7563023,7801965,7902647,7986792,8173229,8985519,9468223,9777492,10359278
 "13000","Georgia",5,SAINC91,30,"...","Adjustment for residence ","Thousands of dollars",-112624,-131629,-178162,-181614,-236891,-340329,-374700,-448077,-585243,-599869,-732404,-776716,-821522,-840314,-798832,-782085,-787884,-777572,-694217,-923951,-947585,-1181881,-1337551,-1513012,-1602146,-1624113,-1837220,-1702445,-1607140,-1461764,-1489585,-1842316,-1707693,-1291250,-1311484
 "15000","Hawaii",8,SAINC91,10,"...","Inflows of earnings ","Thousands of dollars",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 "15000","Hawaii",8,SAINC91,20,"...","Outflows of earnings ","Thousands of dollars",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 "15000","Hawaii",8,SAINC91,30,"...","Adjustment for residence ","Thousands of dollars",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 "16000","Idaho",7,SAINC91,10,"...","Inflows of earnings ","Thousands of dollars",350747,391294,436675,479958,532314,574417,635182,703230,786579,876435,984056,990781,993807,1026825,1077285,1106864,1162246,1235778,1279953,1330231,1420967,1585500,1751849,1844032,1944276,1981257,2065079,2198135,2284259,2476486,2517892,2779835,2917283,3170328,3369634
 "16000","Idaho",7,SAINC91,20,"...","Outflows of earnings ","Thousands of dollars",193638,213093,240865,262874,286436,289133,304682,325775,340839,366159,459808,474616,493296,515359,557525,593863,673772,725778,718646,675714,697230,715788,653753,715351,711104,759277,780583,858518,899018,854548,898091,993978,1050802,1130812,1200399
 "16000","Idaho",7,SAINC91,30,"...","Adjustment for residence ","Thousands of dollars",157109,178201,195810,217084,245878,285284,330500,377455,445740,510276,524248,516165,500511,511466,519760,513001,488474,510000,561307,654517,723737,869712,1098096,1128681,1233172,1221980,1284496,1339617,1385241,1621938,1619801,1785857,1866481,2039516,2169235
 "17000","Illinois",3,SAINC91,10,"...","Inflows of earnings ","Thousands of dollars",4129226,4364953,4729959,4894199,5257487,5562180,5931463,6423047,7016961,7508532,8122496,8352531,8504686,8804369,9260900,9731921,10373801,10660032,11334675,10512040,10859898,11608867,12373014,12700452,13095640,13648469,13845537,14347793,15100463,15683895,15475484,16590136,17896609,19207101,19760826
 "17000","Illinois",3,SAINC91,20,"...","Outflows of earnings ","Thousands of dollars",4401029,4687125,5139415,5485510,5942438,6490588,6866366,7375304,8051021,8654759,9502039,9914077,10173887,10398420,10893705,11503484,12206909,12965641,13107070,12605971,13000757,14180574,14786252,15378026,15440961,16226600,16545849,17516465,18127299,18950945,19334395,20160308,21181463,21752083,22458501
 "17000","Illinois",3,SAINC91,30,"...","Adjustment for residence ","Thousands of dollars",-271803,-322172,-409456,-591311,-684951,-928408,-934903,-952257,-1034060,-1146227,-1379543,-1561546,-1669201,-1594051,-1632805,-1771563,-1833108,-2305609,-1772395,-2093931,-2140859,-2571707,-2413238,-2677574,-2345321,-2578131,-2700312,-3168672,-3026836,-3267050,-3858911,-3570172,-3284854,-2544982,-2697675
 "18000","Indiana",3,SAINC91,10,"...","Inflows of earnings ","Thousands of dollars",3448706,3608452,3970717,4238776,4583275,4954533,5231748,5610680,6031924,6527175,7092403,7400587,7588559,7858680,8326002,8778774,9184483,9702915,9715607,9239704,9294336,9836760,10152099,10589844,10789241,11505160,11955809,12622805,13209746,14135407,14476637,14965914,16225294,16808779,17121191
 "18000","Indiana",3,SAINC91,20,"...","Outflows of earnings ","Thousands of dollars",1961306,2113534,2324311,2372828,2586645,2676395,2814151,3063926,3457756,3701024,3977929,4040658,4156493,4342602,4524356,4672943,4862921,5007553,5030209,4640203,4830790,5114525,5422780,5357803,5610249,5744198,6067038,6337760,6662967,6888645,6879413,7839310,8273167,8349556,8777410
 "18000","Indiana",3,SAINC91,30,"...","Adjustment for residence ","Thousands of dollars",1487400,1494918,1646406,1865948,1996630,2278138,2417597,2546754,2574168,2826151,3114474,3359929,3432066,3516078,3801646,4105831,4321562,4695362,4685398,4599501,4463546,4722235,4729319,5232041,5178992,5760962,5888771,6285045,6546779,7246762,7597224,7126604,7952127,8459223,8343781
 "19000","Iowa",4,SAINC91,10,"...","Inflows of earnings ","Thousands of dollars",1310597,1408045,1535636,1583458,1717923,1875755,2041554,2223795,2428531,2569524,2777676,2853131,2921165,3021523,3172217,3249580,3357022,3683173,3842098,3758220,3889106,4156772,4356910,4448424,4570158,4687920,4751206,5054138,5223464,5412700,5658313,5987902,6306344,6540080,6795921
 "19000","Iowa",4,SAINC91,20,"...","Outflows of earnings ","Thousands of dollars",991290,1034633,1124426,1182360,1295107,1391840,1512417,1619958,1733882,1773890,1896965,1948263,1979648,2050734,2184650,2344293,2516027,2604115,2692756,2608564,2701701,2850667,3127702,3238902,3522461,3686538,3701900,3689097,3865532,4011269,4003224,4292609,4592656,4917139,5248930
 "19000","Iowa",4,SAINC91,30,"...","Adjustment for residence ","Thousands of dollars",319307,373412,411210,401098,422816,483915,529137,603837,694649,795634,880711,904868,941517,970789,987567,905287,840995,1079058,1149342,1149656,1187405,1306105,1229208,1209522,1047697,1001382,1049306,1365041,1357932,1401431,1655089,1695293,1713688,1622941,1546991
 "20000","Kansas",4,SAINC91,10,"...","Inflows of earnings ","Thousands of dollars",3013041,3099462,3355887,3570904,3705673,3953141,4121228,4348717,4616277,4914699,5324747,5465936,5629406,5758677,6000685,6373927,6837437,7146080,7489979,7389931,7520762,7429655,8093963,7976567,8185002,8571287,8726546,9246686,9601130,10058196,10009072,11069112,11519346,12221245,12628599
 "20000","Kansas",4,SAINC91,20,"...","Outflows of earnings ","Thousands of dollars",2045247,2152725,2329168,2455501,2639966,2795703,2974241,3304454,3551802,3896413,4203477,4332723,4430103,4587872,4880745,5112549,5467802,5889347,6075770,5695045,5845678,6190188,6452925,6606233,6996977,7415635,7451792,7706580,8050197,8398559,8556651,8910879,9524366,10058240,10656663
 "20000","Kansas",4,SAINC91,30,"...","Adjustment for residence ","Thousands of dollars",967794,946737,1026719,1115403,1065707,1157438,1146987,1044263,1064475,1018286,1121270,1133213,1199303,1170805,1119940,1261378,1369635,1256733,1414209,1694886,1675084,1239467,1641038,1370334,1188025,1155652,1274754,1540106,1550933,1659637,1452421,2158233,1994980,2163005,1971936
